name	score	s1	s2
collection_label_sam	0.8769123	j6	j11
collection_label_sam	0.8751507	coraltype2b-m7	coraltype2c-m6
collection_label_sam	0.9345168	streaminvertg	streaminverte
collection_label_sam	0.87322783	r009	r040
collection_label_sam	0.908607	r009	r005
collection_label_sam	0.9572326	inverttype7b-m4	inverttype4c-m4
collection_label_sam	0.89462453	limu5b-m3	limu3c-m3
collection_label_sam	0.88735414	limu6a-m3	limu3c-m3
collection_label_sam	0.9421507	limu6a-m3	limu5b-m3
collection_label_sam	0.86514044	sedimentb-m7	sedimentb-m1
collection_label_sam	0.8514205	limu4c-m2	limu5b-m3
collection_label_sam	0.87552834	limu4c-m2	limu6a-m3
collection_label_sam	0.87717247	streaminvertf-1	streaminvertg-3
collection_label_sam	0.9518031	macroalgaa	macroalgac
collection_label_sam	0.90807366	monocotswabc	monocotswaba
collection_label_sam	0.8612135	inverttype1b-m3	inverttype4c-m4
collection_label_sam	0.87640244	inverttype1b-m3	inverttype7b-m4
collection_label_sam	0.8857543	limu4b-m3	limu3c-m3
collection_label_sam	0.9634956	limu4b-m3	limu5b-m3
collection_label_sam	0.9312283	limu4b-m3	limu6a-m3
collection_label_sam	0.8784662	limu4b-m3	limu4c-m2
collection_label_sam	0.9611343	inverttype2b-m6	inverttype1b-m6
collection_label_sam	0.8984704	limu5b-m7	limu5b-m3
collection_label_sam	0.8547481	limu5b-m7	limu6a-m3
collection_label_sam	0.8612277	limu5b-m7	limu4b-m3
collection_label_sam	0.9652537	cmaiki-150058	cmaiki-150053
collection_label_sam	0.8516505	inverttype3b-m1	inverttype7b-m4
collection_label_sam	0.9142432	inverttype3b-m1	inverttype1b-m3
collection_label_sam	0.86239135	emergenced-2	emergencef-4
collection_label_sam	0.8881595	dicotrhizomeb-5	dicotrhizomeb
collection_label_sam	0.92643607	mosquitoa-4	mosquitob-4
collection_label_sam	0.89919436	soilshallowb-3	soilshallowc-5
collection_label_sam	0.8579657	limu4a-m4	limu5b-m3
collection_label_sam	0.88310295	limu4a-m4	limu6a-m3
collection_label_sam	0.8792132	limu4a-m4	limu4c-m2
collection_label_sam	0.912354	limu4a-m4	limu4b-m3
collection_label_sam	0.88345957	inverttype6b-m3	inverttype4c-m4
collection_label_sam	0.92648697	inverttype6b-m3	inverttype7b-m4
collection_label_sam	0.8978114	inverttype6b-m3	inverttype1b-m3
collection_label_sam	0.85425127	inverttype5c-m6	inverttype4c-m4
collection_label_sam	0.92540014	inverttype5c-m6	inverttype1b-m6
collection_label_sam	0.86329615	inverttype5c-m6	inverttype7b-m4
collection_label_sam	0.9106211	inverttype5c-m6	inverttype2b-m6
collection_label_sam	0.8892697	inverttype5a-m5	inverttype4c-m4
collection_label_sam	0.9058915	inverttype5a-m5	inverttype7b-m4
collection_label_sam	0.88879776	inverttype5a-m5	inverttype6b-m3
collection_label_sam	0.87456477	inverttype5a-m5	inverttype5c-m6
collection_label_sam	0.89186	mmp031s	mmp030f
collection_label_sam	0.8753722	limu4a-m5	limu5b-m3
collection_label_sam	0.89652073	limu4a-m5	limu6a-m3
collection_label_sam	0.86717	limu4a-m5	limu4c-m2
collection_label_sam	0.88781273	limu4a-m5	limu4b-m3
collection_label_sam	0.8590638	limu4a-m5	limu5b-m7
collection_label_sam	0.9344987	limu4a-m5	limu4a-m4
